Record Number,Page Number,School Name,Address 1,Address 2,City,State,Zip,Phone,Principal Name,School Website,District,Grades Served,Data Quality Score,Data Quality Issues
577,39,CALDWELL ARTS ACADEMY,"331 S College, Tyler, TX 75702",331 S College,Tyler,TX,75702,(903) 262-2250,Mr Bobby Markle,Not Found,Tyler ISD,Kindergarten - Grade 8,90,School Website not available
578,39,CALDWELL ELEM,"611 W Alligator, Caldwell, TX 77836",611 W Alligator,Caldwell,TX,77836,(979) 567-2404,Mrs Erin Supak,http://www.caldwellisd.net/,Caldwell ISD,Early Education - Grade 3,100,
579,39,CALDWELL ELEM,"601 W Louisiana St, McKinney, TX 75069",601 W Louisiana St,McKinney,TX,75069,(469) 302-5500,Karla Massey,Not Found,McKinney ISD,Kindergarten - Grade 5,90,School Website not available
580,39,CALDWELL ELEM,"3400 Saturn Rd, Garland, TX 75041",3400 Saturn Rd,Garland,TX,75041,(972) 926-2500,Ms Victoria Acevedo,http://www.garlandisd.net/caldwell,Garland ISD,Prekindergarten - Grade 5,100,
581,39,CALDWELL ELEM,"1718 Picadilly Dr, Round Rock, TX 78664",1718 Picadilly Dr,Round Rock,TX,78664,(512) 594-6400,Mrs Brendy Dossey,Not Found,Pflugerville ISD,Early Education - Grade 5,90,School Website not available
582,39,CALDWELL HEIGHTS ELEM,"4010 Eagles Nest, Round Rock, TX 78664",4010 Eagles Nest,Round Rock,TX,78664,(512) 428-7300,Michelle Montalvo,http://schools.roundrockisd.org/caldwellheight/,Round Rock ISD,Early Education - Grade 5,100,
583,39,CALDWOOD ELEM,"102 Berkshire Ln, Beaumont, TX 77707",102 Berkshire Ln,Beaumont,TX,77707,(409) 617-6025,Julie Corona,http://www.bmtisd.com/caldwood,Beaumont ISD,Kindergarten - Grade 5,100,
584,39,CALK-WILSON ELEM,"3925 Ft Worth St, Corpus Christi, TX 78411",3925 Ft Worth St,Corpus Christi,TX,78411,(361) 878-2860,Ms Christine Sierra,http://calk-wilson.ccisd.us/,Corpus Christi ISD,Prekindergarten - Grade 5,100,
585,39,CALLIER CENTER PRE-SCHOOL DEAF (0-5),"1966 Inwood Rd, Dallas, TX 75235",1966 Inwood Rd,Dallas,TX,75235,(972) 982-1036,Karen Clark,Not Found,Dallas ISD,Early Education - Early Education,90,School Website not available
586,40,CALLISBURG ELEM,"648 FM 3164, Gainesville, TX 76240",648 FM 3164,Gainesville,TX,76240,(940) 612-4196,Mrs Lisa Herring,http://www.cisdtx.net/,Callisburg ISD,Early Education - Grade 5,100,
587,40,CALVERT SCHOOL,"310 Hickory St, Calvert, TX 77837",310 Hickory St,Calvert,TX,77837,(979) 364-2824,Mr Ronnell Trotter Mrs Latisha Crockett-Tennell,http://www.calvertisd.com/,Calvert ISD,Early Education - Grade 12,100,
588,40,CALVIN VINCENT PK HEAD START,"1805 13th Ave N, Texas City, TX 77590",1805 13th Ave N,Texas City,TX,77590,(409) 916-0512,Mrs Rebeca Troconis,Not Found,Texas City ISD,Early Education - Prekindergarten,90,School Website not available
589,40,CAMELOT ELEM,"5311 Merlin Dr, San Antonio, TX 78218",5311 Merlin Dr,San Antonio,TX,78218,(210) 407-1400,Ms Wilma Payne,http://www.neisd.net/,North East ISD,Prekindergarten - Grade 5,100,
590,40,CAMERON DUAL LANGUAGE MAGNET,"2401 W 8th St, Odessa, TX 79763",2401 W 8th St,Odessa,TX,79763,(432) 456-1059,Margarita Acosta,Not Found,Ector County ISD,Prekindergarten - Grade 6,90,School Website not available
591,40,CAMERON ELEM,"3635 Belgium Ln, San Antonio, TX 78219",3635 Belgium Ln,San Antonio,TX,78219,(210) 978-7960,Sonya Mora,Not Found,San Antonio ISD,Prekindergarten - Grade 5,90,School Website not available
592,40,CAMEY ELEM,"4949 Arbor Glen Rd, The Colony, TX 75056",4949 Arbor Glen Rd,The Colony,TX,75056,(469) 713-5951,Angela Cortez,Not Found,Lewisville ISD,Early Education - Grade 5,90,School Website not available
593,40,CAMINO REAL ELEM,"170 Las Brisas Blvd, Niederwald, TX 78640",170 Las Brisas Blvd,Niederwald,TX,78640,(512) 268-8505,Yvette Soliz,http://www.hayscisd.net/,Hays CISD,Early Education - Grade 5,100,
594,40,CAMPBELL ELEM,"6605 W League City Pkwy, League City, TX 77573",6605 W League City Pkwy,League City,TX,77573,(281) 284-6600,Ms Erin Tite,Not Found,Clear Creek ISD,Early Education - Grade 5,90,School Website not available
595,40,CAMPBELL ELEM,"3701 Cross Creek Bend Ln, Katy, TX 77441",3701 Cross Creek Bend Ln,Katy,TX,77441,(281) 234-4500,Jaime Shipley,Not Found,Katy ISD,Early Education - Grade 5,90,School Website not available
596,40,CAMPBELL ELEM,"480 N Patterson, Campbell, TX 75422",480 N Patterson,Campbell,TX,75422,(903) 246-9305,Mr Jason Crow,Not Found,Campbell ISD,Early Education - Grade 5,90,School Website not available
597,40,CAMPBELL ELEM,"2613 Rogers Ave, Austin, TX 78722",2613 Rogers Ave,Austin,TX,78722,(512) 414-2056,Mr Keith Moore,http://www.austinisd.org/schools/campbell,Austin ISD,Early Education - Grade 5,100,
598,40,CAMPESTRE ELEM,"11399 Socorro Rd, El Paso, TX 79927",11399 Socorro Rd,El Paso,TX,79927,(915) 937-7300,Randi Shreve,http://www.sisd.net/,Socorro ISD,Prekindergarten - Grade 5,100,
599,40,CANADIAN ELEM,"500 Dogwood, Canadian, TX 79014",500 Dogwood,Canadian,TX,79014,(806) 323-9331,Mrs Reagan Risley,http://www.canadianisd.net/,Canadian ISD,Early Education - Grade 2,100,
600,40,CANALES ELEM,"1811 International Blvd, Brownsville, TX 78521",1811 International Blvd,Brownsville,TX,78521,(956) 548-8900,Mrs Myrta Garza,http://www.bisd.us/canales/,Brownsville ISD,Prekindergarten - Grade 5,100,
